,ENTROPY,CRITIC,GINI,MEREC,STAT_VAR,IDOCRIW,ANGLE,COEFF_VAR
$A_{1}$,1,3,1,1,2,1,1,1
$A_{2}$,3,2,3,2,3,2,3,3
$A_{3}$,5,10,6,6,11,6,5,5
$A_{4}$,6,4,5,4,5,4,6,6
$A_{5}$,7,9,7,7,10,9,7,7
$A_{6}$,8,8,10,10,9,7,10,9
$A_{7}$,11,12,11,11,12,11,11,11
$A_{8}$,12,11,12,12,8,12,12,12
$A_{9}$,2,1,2,3,1,3,2,2
$A_{10}$,9,6,8,8,7,8,8,8
$A_{11}$,4,7,4,5,4,10,4,4
$A_{12}$,10,5,9,9,6,5,9,10
